Latent dimension: 3, MSE: 0.08028508925979788, Avg. Loss: 6.96473851647228
Latent dimension: 4, MSE: 0.0802814940159971, Avg. Loss: 6.989908071681857
Latent dimension: 5, MSE: 0.08028316904198039, Avg. Loss: 6.957438790500164
Latent dimension: 6, MSE: 0.08028333701870659, Avg. Loss: 6.952357682548463
Latent dimension: 7, MSE: 0.08028448305346748, Avg. Loss: 6.942344155199826
Latent dimension: 8, MSE: 0.080284982919693, Avg. Loss: 6.986560083031654
Latent dimension: 9, MSE: 0.08028303628618066, Avg. Loss: 6.973909835629165
Latent dimension: 10, MSE: 0.08028614656491713, Avg. Loss: 6.964172774739564
Latent dimension: 11, MSE: 0.0802847600796006, Avg. Loss: 6.95158811956644
Latent dimension: 12, MSE: 0.08028433878313411, Avg. Loss: 6.948082467764616
Latent dimension: 13, MSE: 0.08028187196363103, Avg. Loss: 6.953855700530112
Best latent dimension: 4 with MSE: 0.0802814940159971
