Latent dimension: 3, MSE: 0.03845257786187259, Avg. Loss: 4.132226356742904
Latent dimension: 4, MSE: 0.031132097779349846, Avg. Loss: 3.362581160981208
Latent dimension: 5, MSE: 0.028585793958468872, Avg. Loss: 3.2872295236494393
Latent dimension: 6, MSE: 0.022300348363139412, Avg. Loss: 2.636844514179975
Latent dimension: 7, MSE: 0.014748702164400707, Avg. Loss: 2.0204241924360393
Latent dimension: 8, MSE: 0.024076137014410713, Avg. Loss: 2.729401446594857
Latent dimension: 9, MSE: 0.01304473431611603, Avg. Loss: 1.7492590649006887
Latent dimension: 10, MSE: 0.016587917777624996, Avg. Loss: 2.1241154069034383
Latent dimension: 11, MSE: 0.015588428571142933, Avg. Loss: 1.9795049801561981
Latent dimension: 12, MSE: 0.012860038402405653, Avg. Loss: 1.9387428069952874
Latent dimension: 13, MSE: 0.011913507245481014, Avg. Loss: 1.6033746705856173
Best latent dimension: 13 with MSE: 0.011913507245481014
